# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.384647675047759596e-02,9.812491608901938722e-01,-6.375809198350944840e+00,-4.080194659456324313e-01
2.000000000000000042e-02,-1.274279608072774184e-01,9.751355389470087731e-01,-6.336091934029415285e+00,-8.142608681045975239e-01
2.999999999999999889e-02,-1.904807239446982270e-01,9.649757679029024038e-01,-6.270107030468662579e+00,-1.216956063652150366e+00
4.000000000000000083e-02,-2.527435578001778205e-01,9.508140723022950880e-01,-6.178168727516842651e+00,-1.614356657128711792e+00
5.000000000000000278e-02,-3.139590115711623497e-01,9.327120216431341593e-01,-6.060713857677344940e+00,-2.004743638417697760e+00
5.999999999999999778e-02,-3.738746033571627714e-01,9.107481894566038516e-01,-5.918298791638564538e+00,-2.386436742504806308e+00
7.000000000000000666e-02,-4.322439968990936521e-01,8.850177205376182910e-01,-5.751595579628832056e+00,-2.757803445853004298e+00
8.000000000000000167e-02,-4.888281359129352799e-01,8.556318103603707259e-01,-5.561387337900291605e+00,-3.117267520452647656e+00
8.999999999999999667e-02,-5.433963287523320140e-01,8.227171014662665316e-01,-5.348562938360196917e+00,-3.463317074066782908e+00
1.000000000000000056e-01,-5.957272767534308455e-01,7.864150022846413401e-01,-5.114111066852386145e+00,-3.794512013692102670e+00
1.100000000000000006e-01,-6.456100403020981204e-01,7.468809344304390141e-01,-4.859113721718888002e+00,-4.109490878578611728e+00
1.199999999999999956e-01,-6.928449374046026232e-01,7.042835150104228559e-01,-4.584739228955919010e+00,-4.406976999063861200e+00
1.300000000000000044e-01,-7.372443703232248735e-01,6.588036808558033197e-01,-4.292234853475970446e+00,-4.685783947742502953e+00
1.400000000000000133e-01,-7.786335766431435879e-01,6.106337618820548707e-01,-3.982919087695535598e+00,-4.944820259872406254e+00
1.499999999999999944e-01,-8.168513019516019380e-01,5.599765109561576359e-01,-3.658173698922616790e+00,-5.183093410187149530e+00
1.600000000000000033e-01,-8.517503921205772377e-01,5.070440977297215879e-01,-3.319435615891652258e+00,-5.399713043229446008e+00
1.700000000000000122e-01,-8.831983039766464483e-01,4.520570738776561459e-01,-2.968188732389038798e+00,-5.593893463750237771e+00
1.799999999999999933e-01,-9.110775339043023502e-01,3.952433170722190470e-01,-2.605955702359144865e+00,-5.764955402468538104e+00
1.900000000000000022e-01,-9.352859646508744351e-01,3.368369608289308870e-01,-2.234289796327589617e+00,-5.912327080421047043e+00
2.000000000000000111e-01,-9.557371312732548807e-01,2.770773170926889573e-01,-1.854766883588583548e+00,-6.035544602141989401e+00
2.099999999999999922e-01,-9.723604077812987301e-01,2.162077980990868564e-01,-1.468977598547102748e+00,-6.134251713927429073e+00
2.200000000000000011e-01,-9.851011165842699091e-01,1.544748436576671435e-01,-1.078519743057607450e+00,-6.208198968409951668e+00
2.300000000000000100e-01,-9.939205633309612375e-01,9.212685957112581869e-02,-6.849909697288316668e-01,-6.257242340583314189e+00
2.399999999999999911e-01,-9.987960001487151684e-01,2.941317243789752511e-02,-2.899817841311774225e-01,-6.281341343283330936e+00
2.500000000000000000e-01,-9.997205206306726266e-01,-3.341699440460556281e-02,1.049311031997238741e-01,-6.280556691985113460e+00
2.600000000000000089e-01,-9.967028901947722064e-01,-9.611551954267752440e-02,4.981910509862318981e-01,-6.255047569672139041e+00
2.700000000000000178e-01,-9.897673156441918474e-01,-1.584363530097993855e-01,8.882673703518614294e-01,-6.205068542539992293e+00
2.800000000000000266e-01,-9.789531579000537720e-01,-2.201364534300653542e-01,1.273660805899544668e+00,-6.130966176500035836e+00
2.899999999999999800e-01,-9.643145919572243541e-01,-2.809766900333554585e-01,1.652908609630468373e+00,-6.033175402937459353e+00
2.999999999999999889e-01,-9.459202181375788721e-01,-3.407227072684375635e-01,2.024589208002598895e+00,-5.912215680051143174e+00
3.099999999999999978e-01,-9.238526286873945947e-01,-3.991457501906244820e-01,2.387326467277666175e+00,-5.768686993458572942e+00
3.200000000000000067e-01,-8.982079336921856560e-01,-4.560234492224375380e-01,2.739793566580390749e+00,-5.603265736685999698e+00
3.300000000000000155e-01,-8.690952501691366905e-01,-5.111405632752280548e-01,3.080716491778535016e+00,-5.416700508777257284e+00
3.400000000000000244e-01,-8.366361580502527096e-01,-5.642896805740978960e-01,3.408877166384829405e+00,-5.209807862634305842e+00
3.500000000000000333e-01,-8.009641265943066024e-01,-6.152718768458332876e-01,3.723116238191292116e+00,-4.983468033932195063e+00
3.599999999999999867e-01,-7.622239145683727957e-01,-6.638973308088012004e-01,4.022335542291906485e+00,-4.738620676606802640e+00
3.699999999999999956e-01,-7.205709473257009279e-01,-7.099858971444698019e-01,4.305500262557655944e+00,-4.476260627063176400e+00
3.800000000000000044e-01,-6.761706736811223806e-01,-7.533676373326375630e-01,4.571640814530998576e+00,-4.197433715454924830e+00
3.900000000000000133e-01,-6.291979052529634853e-01,-7.938833088973884511e-01,4.819854473141607976e+00,-3.903232638691664480e+00
4.000000000000000222e-01,-5.798361407060529382e-01,-8.313848137394883597e-01,5.049306768650786204e+00,-3.594792906284693501e+00
