# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.384654556865017316e-02,9.812505715774811899e-01,-6.375790799190187208e+00,-4.080185243736975109e-01
2.000000000000000042e-02,-1.274280065920662119e-01,9.751383676999667571e-01,-6.336055426075508201e+00,-8.142566285428642914e-01
2.999999999999999889e-02,-1.904806582117858083e-01,9.649800389838493198e-01,-6.270053049103600173e+00,-1.216946248179382684e+00
4.000000000000000083e-02,-2.527432983204967454e-01,9.508198259114641893e-01,-6.178098234728183868e+00,-1.614339123705094359e+00
5.000000000000000278e-02,-3.139584850418409845e-01,9.327193124576295125e-01,-6.060628114183772119e+00,-2.004716434397427971e+00
5.999999999999999778e-02,-3.738737477683742316e-01,9.107570846986984270e-01,-5.918199320316253953e+00,-2.386398152770234482e+00
7.000000000000000666e-02,-4.322427635183272998e-01,8.850282976306611538e-01,-5.751484121238617853e+00,-2.757752034213258430e+00
8.000000000000000167e-02,-4.888264908188996727e-01,8.556441542428451230e-01,-5.561265800319683095e+00,-3.117202163134768167e+00
8.999999999999999667e-02,-5.433942538632111630e-01,8.227313016448651872e-01,-5.348433340693470761e+00,-3.463236984342375813e+00
1.000000000000000056e-01,-5.957247703081902657e-01,7.864311497153472219e-01,-5.113975479921915479e+00,-3.794416756920565348e+00
1.100000000000000006e-01,-6.456071167685789591e-01,7.468991183223189223e-01,-4.858974206528822393e+00,-4.109380377201684809e+00
1.199999999999999956e-01,-6.928416268038285475e-01,7.043038196500481796e-01,-4.584597774763857103e+00,-4.406851527348005781e+00
1.300000000000000044e-01,-7.372407169752612788e-01,6.588261825508610059e-01,-4.292093317109420880e+00,-4.685644116327754460e+00
1.400000000000000133e-01,-7.786296373555663397e-01,6.106585261208363757e-01,-3.982779135709144658e+00,-4.944666990441623611e+00
1.499999999999999944e-01,-8.168471436867604796e-01,5.600035898753087382e-01,-3.658036754112016009e+00,-5.182927900811229449e+00
1.600000000000000033e-01,-8.517460891920068944e-01,5.070735279760689718e-01,-3.319302809564018464e+00,-5.399536725166138140e+00
1.700000000000000122e-01,-8.831939348378686772e-01,4.520888749413099483e-01,-2.968060863643701808e+00,-5.593707950671587881e+00
1.799999999999999933e-01,-9.110731776045744024e-01,3.952774901577455480e-01,-2.605833205459023194e+00,-5.764762433260758101e+00
1.900000000000000022e-01,-9.352816970419838283e-01,3.368734883194912655e-01,-2.234172717049561552e+00,-5.912128456837796087e+00
2.000000000000000111e-01,-9.557330210590304631e-01,2.771161626489649921e-01,-1.854654865233965833e+00,-6.035342122695893430e+00
2.099999999999999922e-01,-9.723565125070204873e-01,2.162489074208941431e-01,-1.468869878078039815e+00,-6.134047105474438766e+00
2.200000000000000011e-01,-9.850974786665445126e-01,1.545181459217214726e-01,-1.078415157606995578e+00,-6.207993816917131369e+00
2.300000000000000100e-01,-9.939172062298907706e-01,9.217226954380483561e-02,-6.848879735156692128e-01,-6.257038022574087144e+00
2.399999999999999911e-01,-9.987929247833677859e-01,2.946059324733746321e-02,-2.898784756046603461e-01,-6.281138959427009283e+00
2.500000000000000000e-01,-9.997177021360568183e-01,-3.336766786683352526e-02,1.050369443613120013e-01,-6.280357004242383745e+00
2.600000000000000089e-01,-9.967002751138487326e-01,-9.606439663349329583e-02,4.983019175783217070e-01,-6.254850943328085222e+00
2.700000000000000178e-01,-9.897648196420848477e-01,-1.583835428158573699e-01,8.883859727696408193e-01,-6.204874894354673209e+00
2.800000000000000266e-01,-9.789506640797317472e-01,-2.200820597854738214e-01,1.273790009554352176e+00,-6.130774930087187435e+00
2.899999999999999800e-01,-9.643119498467018769e-01,-2.809208061512290522e-01,1.653051365648368298e+00,-6.032985452348209598e+00
2.999999999999999889e-01,-9.459172434083580328e-01,-3.406654100724705314e-01,2.024748478300161025e+00,-5.912025362395313621e+00
3.099999999999999978e-01,-9.238491036526260691e-01,-3.990870944402468701e-01,2.387505145191509914e+00,-5.768494071244631094e+00
3.200000000000000067e-01,-8.982036086210977155e-01,-4.559634615309809957e-01,2.739994394287318169e+00,-5.603067390405144899e+00
3.300000000000000155e-01,-8.690898454418596319e-01,-5.110792361248545079e-01,3.080941975782889752e+00,-5.416493340100425158e+00
3.400000000000000244e-01,-8.366293671644514651e-01,-5.642269664340369140e-01,3.409129492370202463e+00,-5.209587908435500125e+00
3.500000000000000333e-01,-8.009556200222091027e-01,-6.152076825017528394e-01,3.723397186536255177e+00,-4.983230791199716236e+00
3.599999999999999867e-01,-7.622133444500140964e-01,-6.638315120109482548e-01,4.022646405535646785e+00,-4.738361138157381802e+00
3.699999999999999956e-01,-7.205579529716467091e-01,-7.099182536806173394e-01,4.305841766072869170e+00,-4.475973327834156912e+00
3.800000000000000044e-01,-6.761548878457250833e-01,-7.532979086289367521e-01,4.572013041619848117e+00,-4.197112789017507950e+00
3.900000000000000133e-01,-6.291789611274614114e-01,-7.938111702460258767e-01,4.820256795717615006e+00,-3.902871883504593686e+00
4.000000000000000222e-01,-5.798136795696515744e-01,-8.313098732466758234e-01,5.049737784606793234e+00,-3.594385861093022605e+00
4.100000000000000311e-01,-5.282505565545071446e-01,-8.656574026664146659e-01,5.259690152140136021e+00,-3.272828894453674753e+00
4.199999999999999845e-01,-4.746884130218178566e-01,-8.967290636247635671e-01,5.449418439192210251e+00,-2.939410198377794714e+00
4.299999999999999933e-01,-4.193326691417530450e-01,-9.244124127096913224e-01,5.618298428736077987e+00,-2.595370234974152091e+00
4.400000000000000022e-01,-3.623946282752655290e-01,-9.486075518394828654e-01,5.765777846442669663e+00,-2.241977003722002593e+00
4.500000000000000111e-01,-3.040907545740450524e-01,-9.692273854350216267e-01,5.891376935111572344e+00,-1.880522412872996263e+00
4.600000000000000200e-01,-2.446419453974486846e-01,-9.861978416894642274e-01,5.994688919495895441e+00,-1.512318726547365211e+00
4.700000000000000289e-01,-1.842727995676364250e-01,-9.994580586561249147e-01,6.075380376169960961e+00,-1.138695079990936554e+00
4.799999999999999822e-01,-1.232108823478030857e-01,-1.008960535791793900e+00,6.133191521035357141e+00,-7.609940538517372399e-01
4.899999999999999911e-01,-6.168598791317610880e-02,-1.014671251494395410e+00,6.167936424894614689e+00,-3.805682969985781372e-01
5.000000000000000000e-01,7.060000864296533951e-05,-1.016569747063568174e+00,6.179503165266275744e+00,1.222813661590438361e-03
5.100000000000000089e-01,6.182684872159986689e-02,-1.014649177393111668e+00,6.167853920292366787e+00,3.830164887066316859e-01
5.200000000000000178e-01,1.233507178096828472e-01,-1.008916328577997401e+00,6.133025008219626706e+00,7.634498299288778878e-01
5.300000000000000266e-01,1.844109005131571166e-01,-9.993916024884564875e-01,6.075126873538446937e+00,1.141163135397492034e+00
5.400000000000000355e-01,2.447775646945226924e-01,-9.861089682322079497e-01,5.994344018456867040e+00,1.514803218971880971e+00
5.500000000000000444e-01,3.042230928309620497e-01,-9.691158802958639296e-01,5.890934875989389141e+00,1.883026757109414362e+00
5.600000000000000533e-01,3.625228204209734462e-01,-9.484731630305998085e-01,5.765231618570410888e+00,2.244503675267461418e+00
5.700000000000000622e-01,4.194557721203325817e-01,-9.242548610280153509e-01,5.617639893779048599e+00,2.597920585387201164e+00
5.799999999999999600e-01,4.748053948270627433e-01,-8.965480548224200597e-01,5.448638476506596717e+00,2.941984284863388144e+00
5.899999999999999689e-01,5.283602868175040213e-01,-8.654526412582819184e-01,5.258778824732039503e+00,3.275425326048963637e+00
5.999999999999999778e-01,5.799149218968734365e-01,-8.310810777789905401e-01,5.048684524019161124e+00,3.597001663715324593e+00
6.099999999999999867e-01,6.292703673691681932e-01,-7.935580898281504592e-01,4.819050603937403920e+00,3.905502385988463665e+00
6.199999999999999956e-01,6.762349944544353564e-01,-7.530203405100365233e-01,4.570642707866769072e+00,4.199751532110042263e+00
6.300000000000000044e-01,7.206251795881586375e-01,-7.096160616343112348e-01,4.304296096106410729e+00,4.478611997935022515e+00
6.400000000000000133e-01,7.622659948299826960e-01,-6.635046452742434653e-01,4.020914460901345855e+00,4.740989527381234581e+00
6.500000000000000222e-01,8.009918853897416424e-01,-6.148561950000189791e-01,3.721468530968539135e+00,4.985836785102545576e+00
6.600000000000000311e-01,8.366473320506897515e-01,-5.638510360116887332e-01,3.406994442381115373e+00,5.212157502482246407e+00
6.700000000000000400e-01,8.690874960362600099e-01,-5.106791834920787476e-01,3.078591852297750897e+00,5.419010685658683713e+00
6.800000000000000488e-01,8.981788436313072888e-01,-4.555397686305361904e-01,2.737421772044292378e+00,5.605514870729175314e+00
6.900000000000000577e-01,9.237997476357527882e-01,-3.986404219353592571e-01,2.384704096507009652e+00,5.770852407566243514e+00
7.000000000000000666e-01,9.458410625023512264e-01,-3.401966136574061661e-01,2.021714807721019191e+00,5.914273749865273544e+00
7.099999999999999645e-01,9.642066697958618926e-01,-2.804309513904746920e-01,1.649782831969955232e+00,6.035101725176350129e+00
7.199999999999999734e-01,9.788139904134632863e-01,-2.195724351958160125e-01,1.270286531686387832e+00,6.132735754815090701e+00
7.299999999999999822e-01,9.895944598313611840e-01,-1.578556709181719586e-01,8.846498159832756336e-01,6.206655989766334258e+00
7.399999999999999911e-01,9.964939624959696651e-01,-9.552004271785954903e-02,4.943378567735947637e-01,6.256427325067278389e+00
7.500000000000000000e-01,9.994732213657140374e-01,-3.280884623571661551e-02,1.008524011571926837e-01,6.281703251767322804e+00
7.600000000000000089e-01,9.985081385373558716e-01,3.003161576765801810e-02,-2.942733249318190136e-01,6.282229502501330387e+00
7.700000000000000178e-01,9.935900828646321292e-01,9.275297300375248688e-02,-6.894801219334214526e-01,6.257847444076992005e+00
7.800000000000000266e-01,9.847261205025471531e-01,1.551057597074462779e-01,-1.083188725407063790e+00,6.208497168364350394e+00
7.900000000000000355e-01,9.719391843930781372e-01,2.168404158810287030e-01,-1.473806107063945880e+00,6.134220231285731906e+00
8.000000000000000444e-01,9.552681788520013262e-01,2.777083139576974613e-01,-1.859732150474491030e+00,6.035161988934635069e+00
8.100000000000000533e-01,9.347680156259102757e-01,3.374628066010950111e-01,-2.239366677132085925e+00,5.911573479894363103e+00
8.200000000000000622e-01,9.105095780662385563e-01,3.958602908520608699e-01,-2.611116791604580545e+00,5.763812803764201576e+00
8.300000000000000711e-01,8.825796104150447352e-01,4.526612833425329718e-01,-2.973404507434215027e+00,5.592345947802926709e+00
8.399999999999999689e-01,8.510805296160125488e-01,5.076315008293558195e-01,-3.324674608392289787e+00,5.397747016519987895e+00
8.499999999999999778e-01,8.161301575526451746e-01,5.605429398680192854e-01,-3.663402692809096362e+00,5.180697823017249348e+00
8.599999999999999867e-01,7.778613721714956464e-01,6.111749490586426692e-01,-3.988103342145760344e+00,4.941986805918288539e+00
8.699999999999999956e-01,7.364216765673148313e-01,6.593152869643965630e-01,-4.297338348923566365e+00,4.682507241800907494e+00
8.800000000000000044e-01,6.919726857833085054e-01,7.047611585362488773e-01,-4.589724933751682556e+00,4.403254730125375715e+00
8.900000000000000133e-01,6.446895318056650170e-01,7.473202226870657716e-01,-4.863943876667209842e+00,4.105323935649204614e+00
9.000000000000000222e-01,5.947601879978325901e-01,7.868115635513843742e-01,-5.118747484485103527e+00,3.789904582130830590e+00
9.100000000000000311e-01,5.423847150158400687e-01,8.230666179520751413e-01,-5.352967313498456114e+00,3.458276700610910304e+00
9.200000000000000400e-01,4.877744310590022558e-01,8.559300516775569800e-01,-5.565521565800231940e+00,3.111805145553840024e+00
9.300000000000000488e-01,4.311510101272301720e-01,8.852605773573574144e-01,-5.755422077817881288e+00,2.751933402440972287e+00
9.400000000000000577e-01,3.727455127625927678e-01,9.109317070117164405e-01,-5.921780821432951036e+00,2.380176720817269942e+00
9.500000000000000666e-01,3.127973545339464145e-01,9.328324327425011608e-01,-6.063815841333339840e+00,1.998114617075945842e+00
9.599999999999999645e-01,2.515532182644018011e-01,9.508678295254727741e-01,-6.180856557011414232e+00,1.607382801183472765e+00
9.699999999999999734e-01,1.892659166874320897e-01,9.649595746530804652e-01,-6.272348364030476908e+00,1.209664590861458500e+00
9.799999999999999822e-01,1.261932128345081838e-01,9.750463790552508225e-01,-6.337856476746763335e+00,8.066818852202273238e-01
9.899999999999999911e-01,6.259660599233686507e-02,9.810843264836290878e-01,-6.377068963465176488e+00,4.001857772641876365e-01
1.000000000000000000e+00,-1.259908490387637303e-03,9.830471173708935639e-01,-6.389798934857158663e+00,-8.053109133558500332e-03
